modulo_costo,modulo_nombre,rango_caudal_codigo,rango_caudal,q_min_lps,q_max_lps,costo_min_millones,costo_max_millones,incluye,actividades_base,factores_variacion
M1_DESINFECCION,Desinfección / cloración,Q1,<= 0.5 L/s,0,0.5,12,25,Módulo básico de cloración rural,Caseta básica o adecuación de caseta existente|Tanque de solución clorada|Sistema de goteo o dosificador básico|Accesorios hidráulicos menores|Insumo inicial de cloro|Medición inicial de cloro residual|Capacitación básica al operador|Verificación posterior,Estado de caseta existente; distancia a red; disponibilidad de agua/energía; tipo de dosificador; accesibilidad
M1_DESINFECCION,Desinfección / cloración,Q2,0.5 - 1.5 L/s,0.5,1.5,20,45,Módulo de cloración rural estándar,Caseta o adecuación de caseta|Tanque de solución clorada|Dosificador por goteo o clorador básico|Tubería y válvulas de conexión|Accesorios hidráulicos menores|Insumo inicial de cloro|Kit básico de medición|Capacitación y puesta en marcha|Verificación posterior,Obra civil nueva vs adecuación; volumen del tanque; tipo de dosificación; ubicación; transporte de materiales
M1_DESINFECCION,Desinfección / cloración,Q3,1.5 - 3.0 L/s,1.5,3,35,75,Módulo de cloración de mayor capacidad,Caseta reforzada o adecuación completa|Tanque de solución de mayor volumen|Dosificador de mayor capacidad|Conexiones hidráulicas y válvulas|Elementos de seguridad|Insumo inicial de cloro|Medición de cloro residual|Capacitación y puesta en marcha|Verificación posterior,Capacidad de dosificación; necesidad de energía; condición hidráulica; obra civil; accesibilidad
M1_DESINFECCION,Desinfección / cloración,Q4,> 3.0 L/s,3,,60,120,Sistema de desinfección de mayor capacidad,Caseta o módulo de operación|Sistema de dosificación de mayor capacidad|Tanque de solución|Accesorios hidráulicos|Elementos de seguridad|Puesta en marcha|Capacitación|Verificación posterior,Requiere validación técnica específica; caudal real; presión; energía; automatización; alcance de obra civil
M2_FILTRACION,Filtración / tratamiento,Q1,<= 0.5 L/s,0,0.5,70,150,Módulo básico de filtración o tratamiento rural,Filtro básico o unidad de tratamiento simple|Lecho filtrante|Caja de entrada/salida|Accesorios de conexión|Lavado inicial|Puesta en marcha|Verificación de calidad de agua,Tipo de agua cruda; turbiedad; disponibilidad de área; accesibilidad; necesidad de pretratamiento
M2_FILTRACION,Filtración / tratamiento,Q2,0.5 - 1.5 L/s,0.5,1.5,120,280,Módulo de filtración/tratamiento rural estándar,Filtro lento/FIME o tratamiento compacto básico|Lechos filtrantes|Pretratamiento básico si aplica|Conexiones hidráulicas|Válvulas y accesorios|Puesta en marcha|Verificación fisicoquímica y microbiológica,Turbiedad; fuente superficial; área disponible; necesidad de desarenador; transporte de materiales; energía
M2_FILTRACION,Filtración / tratamiento,Q3,1.5 - 3.0 L/s,1.5,3,240,520,Módulo de tratamiento rural de mayor capacidad,Tratamiento modular o filtración de mayor capacidad|Pretratamiento|Lechos o unidades de proceso|Conexiones hidráulicas|Válvulas y accesorios|Puesta en marcha|Verificación de calidad,Parámetros fisicoquímicos; caudal real; área disponible; accesibilidad; necesidad de diseño específico
M2_FILTRACION,Filtración / tratamiento,Q4,> 3.0 L/s,3,,450,900,Solución de tratamiento de mayor capacidad,Tratamiento de mayor capacidad|Pretratamiento|Unidades de proceso|Conexiones principales|Puesta en marcha|Verificación de calidad,Requiere diseño y presupuesto específico; caudal real; topografía; calidad de agua; obra civil; energía
M3_ADECUACIONES,Adecuaciones del sistema,Q1,<= 0.5 L/s,0,0.5,15,45,Adecuaciones menores del sistema,Adecuación menor de captación o tanque|Tapas/reboses/limpieza|Protección sanitaria básica|Puntos de muestreo|Accesorios menores|Registro fotográfico y soporte operativo,Estado real de infraestructura; acceso; longitud de tubería; disponibilidad de materiales
M3_ADECUACIONES,Adecuaciones del sistema,Q2,0.5 - 1.5 L/s,0.5,1.5,30,85,Adecuaciones hidráulicas y sanitarias básicas,Adecuación de captación/bocatoma/desarenador|Adecuación de tanque|Conducción menor o accesorios|Puntos de muestreo|Protección sanitaria básica|Mantenimiento correctivo menor,Alcance de obras; longitud de conducción; estado del tanque; acceso; transporte; necesidad de obra civil
M3_ADECUACIONES,Adecuaciones del sistema,Q3,1.5 - 3.0 L/s,1.5,3,60,160,Adecuaciones medianas del sistema,Adecuación de captación o desarenador|Adecuación de tanque y accesorios|Tramos menores de conducción/red|Puntos de muestreo|Protección sanitaria|Mantenimiento correctivo,Longitudes; estado estructural; necesidad de materiales; acceso; condiciones del sitio
M3_ADECUACIONES,Adecuaciones del sistema,Q4,> 3.0 L/s,3,,120,320,Adecuaciones de mayor alcance,Adecuaciones hidráulicas de mayor alcance|Captación/desarenador/tanque|Conducción/red menor|Puntos de muestreo|Protección sanitaria|Puesta en operación,Requiere visita y cantidades de obra; topografía; accesibilidad; alcance real de infraestructura
