id,codigo_dane,municipio,institucion,latitud,longitud,georef_estado,georef_nota,afectacion_pct,nivel_afectacion,instituciones_texto_fuente,necesidades_prioritarias_fuente,aro_uesvalle
HOSP_001,76020,Alcalá,Hospital San Vicente de Paul,4.67326,-75.7808,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,10,Moderada,Hospital San Vicente de Paul,Afectado en un 10%. | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR,ARO Norte - Cartago
HOSP_002,76036,Andalucía,Hospital San Vicente Ferrer,4.16972,-76.165483,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,50,Muy alta,Hospital San Vicente Ferrer,Con afectación en un 50% mamposteria. | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR |,ARO Centro - Tuluá
HOSP_003,76041,Ansermanuevo,Hospital Santa Ana de los Caballeros,4.798533,-75.996975,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,50,Muy alta,Hospital Santa Ana de los Caballeros,Con afectación en un 50% mamposteria en consulta externa | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR,ARO Norte - Cartago
HOSP_004,76054,Argelia,Hospital Pío XII,4.72611,-76.1217,APROX_CABECERA_DIRECCION_CONFIRMADA,Cra. 4 #1-65. Coordenada aproximada a cabecera; requiere precisión predial.,60,Muy alta,Hospital Pio XII,"TECHO COLAPSO DE CONSULTA EXTERNA, HAY GRIETAS EN LA INFRAESTRUCTURA . Se desplomo el tejado y cielo razo el segundo piso (Afectacion del 60%) | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR | 30 mts PLASTICO POR METROS PARA CUBRIR | Necesidad de 1 Planta Eléctrica",ARO Norte - Cartago
HOSP_005,76100,Bolívar,Hospital Santa Ana,4.339862,-76.18421,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,20,Moderada,Hospital Santa Ana,Agrietamiento (20% de afectación) | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR | TANQUE DE RESERVA DE AGUA,ARO Centro - Tuluá
HOSP_006,76109,Buenaventura,Hospital Luis Ablanque de la Plata,3.879628,-77.020954,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,20,Moderada,Hosp. Luis Ablaque de la plata | Clinica Santa Sofia del Pacifico,La red hospitalaria de buenaventura se encuentra en alerta naranja con la red al 100% de capacidad. Hosp. Luis Ablaque de la plata Afectación de dos bloques en estructura de un 20% y los demas bloques daños en mamposteria. Se hizo ampliacion hacia consulta externa - Clinica Santa Sofia del Pacifico EVACUARON PACIENTES AFECTACION AGRIETAMIENTO DE PISO 2 Y 1 REUBICACION DE PACIENTES (Afectacion del 50%) | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALORl,ARO Sur - Cali
HOSP_007,76111,Guadalajara de Buga,Fundación Hospital San José de Buga,3.9063,-76.29216,VERIFICADA_OSM_MAPCARTA,Hospital identificado en OpenStreetMap/Mapcarta; la tabla fuente no asigna porcentaje específico al Hospital San José.,,Sin porcentaje / pendiente,". Hospital San José | *REDESIMAT | *DIVINO NIÑO | *DISPENSARIO BATALLON PALACÉ | *CLINICA COMFANDI - (AFECTACIÓN MURO, PAREDES | AGRIETADAS) | * HOSTAL EL REGIDOR (GRIETA)",EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR,ARO Centro - Tuluá
HOSP_008,76113,Bugalagrande,Hospital San Bernabé,4.213239,-76.157195,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,0,Sin afectación reportada,Hospital San Bernabe,No tuvo afectación estructural o agrietamientos,ARO Centro - Tuluá
HOSP_009,76122,Caicedonia,Hospital Santander,4.331373,-75.823478,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,10,Moderada,Hospital Santander - Daño en infraestructura Zona Administrativa,Grietas en consulta externa (Afectacion del 10%) | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR,ARO Centro - Tuluá
HOSP_010,76126,Calima (El Darién),Hospital San Jorge,3.934889,-76.487889,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,0,Sin afectación reportada,Hospital San Jorge,Sin necesidades prioritarias,ARO Centro - Tuluá
